video_id,search_keyword,title,channel_name,upload_date,view_count,like_count,comment_count_total,comment_text,comment_author,comment_likes,comment_date
6CG3UX-vCzQ,kuliner karawang viral,Viral! Senichi Coffee Kini Hadir di Karawang—Kolaborasi Seru Bareng Kuliner Karawang,Senichi Story,2025-11-27T05:31:27Z,8,3,3,"Yang mau ke sana boleh banget, sudah di sediakan banyak sekali colokan listrik dan wifi, yang mau Nugas Bareng untuk Mahasiswa, dan temen""yang mau WFC bisa banget.",@SenichiStory,0,2025-11-27T05:34:30Z
6CG3UX-vCzQ,kuliner karawang viral,Viral! Senichi Coffee Kini Hadir di Karawang—Kolaborasi Seru Bareng Kuliner Karawang,Senichi Story,2025-11-27T05:31:27Z,8,3,3,"Pengen banget ke sini, suka banget sama kopinya, aku suka pesen yang botolan dan di kirim ke kantor,, yummy dan creamy🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤",@putrinoviyandari4018,0,2025-11-27T06:52:18Z
MHKl0KhCaTM,kuliner karawang viral,Akhirnya gaes Jus Antara hadir di Karawang #shorts #trending #viral #kuliner,Agung maryono,2025-11-26T11:30:31Z,1043,6,0,,,0,
pcbjGZ42lQM,kuliner karawang viral,"kuliner legend, yang sudah mulai langka. ini ada di Gempol. #roadrezdelivery #viral #tutut #karawang",RoadRez Delivery banyusari cilamaya,2025-11-25T04:52:42Z,846,8,0,,,0,
tfZtO5tFaAk,kuliner karawang viral,"ES TELER SULTAN, ARETHA GEMPOL, TERENDUL, #roadrezdelivery #esteler #viral #kulinerkarawang #reels",RoadRez Delivery banyusari cilamaya,2025-11-21T03:03:31Z,1079,3,0,,,0,
wvhXhKwjL_8,kuliner karawang viral,NPP berada#karawang #fypシ゚viral #kopi #kuliner,baraya karawang,2025-11-20T02:10:32Z,158,0,0,,,0,
mMPg8BopwLM,kuliner karawang viral,tuturut munding #karawang #fypシ゚viral #kopi,baraya karawang,2025-11-18T07:09:20Z,2,0,0,,,0,
NQkFEB1Wmag,kuliner karawang viral,JIBRUG #karawang #fypシ゚viral #kopihitam #hujanderas #hujanrintik,baraya karawang,2025-11-18T06:54:34Z,3,0,0,,,0,
z1cufF_YXPo,kuliner karawang viral,Jalan Jajan ke Karawang ada apa sih? makanan nyaman dan juga santai #kuliner #viral #food,PapaEren's,2025-11-17T12:53:32Z,1552,17,0,,,0,
3doNqUrXjl0,kuliner karawang viral,Bakso balap #shortvideo #viral #kuliner #fypシ,Makan Yuk,2025-11-16T22:34:21Z,12,2,0,,,0,
3TbyipEB75E,kuliner karawang viral,Bakso BUNGA viral kedungwowo tempuran #baksobunga #kedungwowo #tempuran #kulinerkarawang,ARNOEZ ARVEIN,2025-11-16T13:53:03Z,2132,12,3,😮😅,@NandoGanteng-l4n,2,2025-11-23T09:12:20Z
3TbyipEB75E,kuliner karawang viral,Bakso BUNGA viral kedungwowo tempuran #baksobunga #kedungwowo #tempuran #kulinerkarawang,ARNOEZ ARVEIN,2025-11-16T13:53:03Z,2132,12,3,Mntap iraha urang kadinya,@NengCitra13,2,2025-11-17T06:11:57Z
6RCPjnc8hrQ,kuliner karawang viral,Bakso Pratama Viral Di Karawang #kuliner #visitkuliner #shortvideo #shorts #short #youtubeshorts,Gorila Gembul,2025-11-14T12:00:00Z,3968,51,1,Bang coba review CAKWE HAN satu2 ny cakwe ter'enak di karawang,@rofficial737,0,2025-11-23T17:18:33Z
9LeGqxw4LuI,kuliner karawang viral,Camilan Sehat Enak di Karawang #soursally #shorts #kuliner #karawang #viral,Febri Dwi Cahya Gumilar (efe),2025-11-12T15:41:28Z,443,2,0,,,0,
Lqe5FbLDYno,kuliner karawang viral,Makan Enak di Mall #shorts #viral #karawang #kuliner,Febri Dwi Cahya Gumilar (efe),2025-11-11T14:34:19Z,371,2,0,,,0,
L7gAAVFo9Mk,kuliner karawang viral,Nasi Uduk Enak di Karawang #shorts #viral #karawang #kuliner #fyp,Febri Dwi Cahya Gumilar (efe),2025-11-10T13:50:51Z,21,0,0,,,0,
hiS_p2sccSA,kuliner karawang viral,RM Bu Tedy 88 khas Karawang Rawa Panjang Bekasi Viral...Enak Murah,IRFAN_A CHANEL ( DUNIA PARIWISATA & KULINERAN ),2025-11-10T04:20:55Z,949,7,0,,,0,
